TicketID,CreatedAt,CustomerID,Language,Channel,IssueCategory,Priority,Description,AgentName,AdvisorName,DeskName,ResponseTimeMinutes,ResolutionTimeMinutes,CSAT,Sentiment,SupportQuality,Outcome,Organization,RefundAmount,Notes,CallTranscript
CFA-2025-0011,6/7/2025 10:08,CUST-59606,Spanish,Phone,Fee Inquiry,High,Consulta sobre tarifas de asesoría y tramos.,R. Gupta,Jordan Blake,Billing Operations,4,145,4,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (R. Gupta): Estoy revisando los registros y la política de permisos de su cuenta. Agent (R. Gupta): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Jordan Blake hará seguimiento durante 24 horas. Agent (R. Gupta): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0012,8/10/2025 12:23,CUST-70144,French,Chat,Fraud Alert,Critical,Opération non reconnue ayant déclenché une alerte fraude.,L. Nguyen,Rohan Mehta,Fraud Operations,7,652,4,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (L. Nguyen): Je consulte les journaux et la politique des autorisations de votre compte. Agent (L. Nguyen): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Rohan Mehta assurera un suivi pendant 24 heures. Agent (L. Nguyen): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0013,6/8/2025 15:59,CUST-64161,English,Chat,Regulatory Disclosure,Low,Missing ADV Part 2A link in client portal.,A. Patel,Aurélie Petit,Compliance Desk,6,327,5,Neutral,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (A. Patel): You're connected with Contoso Support. Customer: Where can I find the ADV disclosure? Agent (A. Patel): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0014,5/26/2025 16:40,CUST-49389,Spanish,Phone,Mobile App Bug,Medium,La app se cierra al ver el portafolio.,D. Johnson,Louise Garnier,Digital Platforms – Mobile,6,3281,3,Neutral,Average,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (D. Johnson): Estoy revisando los registros y la política de permisos de su cuenta. Agent (D. Johnson): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Louise Garnier hará seguimiento durante 24 horas. Agent (D. Johnson): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0015,9/23/2025 16:24,CUST-53230,French,In-App,Website Bug,Low,Erreur 500 sur la page des positions.,J. Chen,Ana Morales,Digital Platforms – Web,61,783,3,Positive,Average,Resolved,Contoso Financial Advisors,10.61,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (J. Chen): Je consulte les journaux et la politique des autorisations de votre compte. Agent (J. Chen): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Ana Morales assurera un suivi pendant 24 heures. Agent (J. Chen): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0016,5/18/2025 7:21,CUST-30994,English,In-App,Advisory Appointment,Low,Need to reschedule with advisor; calendar not syncing.,D. Johnson,Nadia Ben Ali,Advisory Services – Scheduling,13,,2,Negative,Poor,Unresolved,Contoso Financial Advisors,14.73,Escalated; awaiting specialist update.,"Agent (D. Johnson): We received your in-app message. Customer: I need to reschedule with my advisor. Agent (D. Johnson): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0017,7/25/2025 15:31,CUST-54353,Spanish,Phone,Portfolio Performance,Low,El panel de rendimiento muestra retornos inconsistentes.,A. Patel,Daniel Ortiz,Advisory Analytics,6,380,5,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (A. Patel): Estoy revisando los registros y la política de permisos de su cuenta. Agent (A. Patel): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Daniel Ortiz hará seguimiento durante 24 horas. Agent (A. Patel): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0018,4/18/2025 15:38,CUST-55023,French,In-App,Account Access,High,Impossible de se connecter ; MFA ne fonctionne pas.,M. Rodriguez,Claire Dupont,Client Access Support,50,,3,Negative,Average,Unresolved,Contoso Financial Advisors,0,Escaladé ; en attente de la mise à jour du spécialiste.,"Client : Oui, je peux fournir ces informations. Agent (M. Rodriguez): Je consulte les journaux et la politique des autorisations de votre compte. Agent (M. Rodriguez): J'ai transmis le dossier à l'équipe spécialisée et placé une alerte sur le compte. Le conseiller Claire Dupont vous tiendra informé d'ici la fin de la journée. Agent (M. Rodriguez): Nous vous tiendrons informé via votre moyen de contact préféré. Vous pouvez mentionner le numéro de ticket dans toute réponse."
CFA-2025-0019,6/24/2025 14:26,CUST-68259,English,Phone,Trade Execution,High,Trade failed during market hours; order stuck in pending.,S. Thompson,Marc Dubois,Trading Desk – Equities,7,266,4,Neutral,Excellent,Resolved,Contoso Financial Advisors,47.14,Resolved; follow-up scheduled.,"Agent (S. Thompson): Thank you for calling Contoso Financial Advisors. Customer: My order stayed pending and missed the fill. Agent (S. Thompson): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0020,6/5/2025 15:33,CUST-93966,Spanish,Branch,Fee Inquiry,Medium,Consulta sobre tarifas de asesoría y tramos.,S. Thompson,Ava Thompson,Billing Operations,21,153,4,Positive,Excellent,Resolved,Contoso Financial Advisors,5.83,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (S. Thompson): Estoy revisando los registros y la política de permisos de su cuenta. Agent (S. Thompson): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Ava Thompson hará seguimiento durante 24 horas. Agent (S. Thompson): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0021,7/19/2025 10:58,CUST-98777,French,Chat,Fee Inquiry,High,Question sur les frais de conseil et paliers.,L. Nguyen,Jordan Blake,Billing Operations,2,104,4,Positive,Excellent,Resolved,Contoso Financial Advisors,61.46,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (L. Nguyen): Je consulte les journaux et la politique des autorisations de votre compte. Agent (L. Nguyen): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Jordan Blake assurera un suivi pendant 24 heures. Agent (L. Nguyen): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0022,8/24/2025 17:14,CUST-32776,English,Email,Fraud Alert,High,Unrecognized transaction triggered fraud hold.,C. Williams,Rohan Mehta,Fraud Operations,29,743,2,Positive,Poor,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (C. Williams): Thanks for contacting Contoso Support. Customer: I see a fraud alert for something I didn't do. Agent (C. Williams): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0023,7/21/2025 11:43,CUST-99447,Spanish,Chat,Account Access,Medium,No puedo iniciar sesión; la MFA no funciona.,J. Chen,Claire Dupont,Client Access Support,4,65,5,Neutral,Excellent,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (J. Chen): Estoy revisando los registros y la política de permisos de su cuenta. Agent (J. Chen): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Claire Dupont hará seguimiento durante 24 horas. Agent (J. Chen): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0024,7/2/2025 12:58,CUST-61647,French,In-App,Trade Execution,Low,Ordre échoué pendant les heures de marché ; bloqué en attente.,M. Rodriguez,Alex Rivera,Trading Desk – Equities,96,202,3,Positive,Average,Resolved,Contoso Financial Advisors,121.55,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (M. Rodriguez): Je consulte les journaux et la politique des autorisations de votre compte. Agent (M. Rodriguez): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Alex Rivera assurera un suivi pendant 24 heures. Agent (M. Rodriguez): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0025,7/9/2025 11:38,CUST-20604,English,Email,Portfolio Performance,Medium,Performance dashboard shows inconsistent returns.,C. Williams,Émile Laurent,Advisory Analytics,111,871,3,Negative,Average,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (C. Williams): Thanks for contacting Contoso Support. Customer: The performance numbers look off. Agent (C. Williams): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0026,7/18/2025 9:42,CUST-36014,Spanish,Email,Regulatory Disclosure,Medium,Falta el enlace al documento ADV Parte 2A.,B. Kim,Aurélie Petit,Compliance Desk,44,535,5,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (B. Kim): Estoy revisando los registros y la política de permisos de su cuenta. Agent (B. Kim): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Aurélie Petit hará seguimiento durante 24 horas. Agent (B. Kim): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0027,7/5/2025 10:47,CUST-48339,French,Branch,Fraud Alert,Medium,Opération non reconnue ayant déclenché une alerte fraude.,R. Gupta,Noah Fernandez,Fraud Operations,14,538,4,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (R. Gupta): Je consulte les journaux et la politique des autorisations de votre compte. Agent (R. Gupta): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Noah Fernandez assurera un suivi pendant 24 heures. Agent (R. Gupta): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0028,4/28/2025 7:24,CUST-97783,English,Phone,Account Access,Medium,Unable to log in; MFA not working.,M. Rodriguez,Grace Lee,Client Access Support,6,73,5,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (M. Rodriguez): Thank you for calling Contoso Financial Advisors. Customer: I can't log in; the code never arrives. Agent (M. Rodriguez): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0029,8/27/2025 9:14,CUST-15805,Spanish,Chat,Website Bug,Medium,Error 500 en la página de posiciones.,C. Williams,Ana Morales,Digital Platforms – Web,3,2094,3,Neutral,Average,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (C. Williams): Estoy revisando los registros y la política de permisos de su cuenta. Agent (C. Williams): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Ana Morales hará seguimiento durante 24 horas. Agent (C. Williams): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0030,6/19/2025 8:52,CUST-50954,French,Chat,Fraud Alert,Medium,Opération non reconnue ayant déclenché une alerte fraude.,R. Gupta,Noah Fernandez,Fraud Operations,4,1101,5,Neutral,Excellent,Resolved,Contoso Financial Advisors,15.82,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (R. Gupta): Je consulte les journaux et la politique des autorisations de votre compte. Agent (R. Gupta): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Noah Fernandez assurera un suivi pendant 24 heures. Agent (R. Gupta): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0031,5/27/2025 8:39,CUST-94249,English,Phone,Advisory Appointment,Low,Need to reschedule with advisor; calendar not syncing.,C. Williams,Tomás Herrera,Advisory Services – Scheduling,5,106,5,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (C. Williams): Thank you for calling Contoso Financial Advisors. Customer: I need to reschedule with my advisor. Agent (C. Williams): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0032,6/21/2025 9:42,CUST-72728,Spanish,Branch,KYC/Onboarding,High,Los documentos de verificación fueron rechazados repetidamente.,S. Thompson,Camille Moreau,KYC Operations,19,1026,3,Negative,Average,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (S. Thompson): Estoy revisando los registros y la política de permisos de su cuenta. Agent (S. Thompson): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Camille Moreau hará seguimiento durante 24 horas. Agent (S. Thompson): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0033,8/28/2025 8:20,CUST-32764,French,Phone,Statement Error,High,Relevé mensuel avec solde/frais incorrects.,J. Chen,Olivia Brooks,Client Reporting Desk,7,,3,Negative,Average,Unresolved,Contoso Financial Advisors,138.38,Escaladé ; en attente de la mise à jour du spécialiste.,"Client : Oui, je peux fournir ces informations. Agent (J. Chen): Je consulte les journaux et la politique des autorisations de votre compte. Agent (J. Chen): J'ai transmis le dossier à l'équipe spécialisée et placé une alerte sur le compte. Le conseiller Olivia Brooks vous tiendra informé d'ici la fin de la journée. Agent (J. Chen): Nous vous tiendrons informé via votre moyen de contact préféré. Vous pouvez mentionner le numéro de ticket dans toute réponse."
CFA-2025-0034,5/28/2025 7:18,CUST-77006,English,Phone,Transfer/ACH,High,ACH transfer delayed or failed to post.,E. Martinez,Valeria Pérez,Cash Operations,3,505,4,Positive,Excellent,Resolved,Contoso Financial Advisors,17.84,Resolved; follow-up scheduled.,"Agent (E. Martinez): Thank you for calling Contoso Financial Advisors. Customer: An ACH I initiated hasn't posted. Agent (E. Martinez): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0035,9/4/2025 16:30,CUST-15055,Spanish,Email,Fraud Alert,High,Transacción no reconocida activó una alerta de fraude.,A. Patel,Amélie Bernard,Fraud Operations,159,1016,4,Negative,Excellent,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (A. Patel): Estoy revisando los registros y la política de permisos de su cuenta. Agent (A. Patel): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Amélie Bernard hará seguimiento durante 24 horas. Agent (A. Patel): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0036,8/16/2025 17:36,CUST-69060,French,Email,Regulatory Disclosure,Medium,Lien vers l'ADV Partie 2A manquant dans le portail.,A. Patel,Miguel Castillo,Compliance Desk,174,432,4,Negative,Excellent,Resolved,Contoso Financial Advisors,0,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (A. Patel): Je consulte les journaux et la politique des autorisations de votre compte. Agent (A. Patel): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Miguel Castillo assurera un suivi pendant 24 heures. Agent (A. Patel): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0037,5/29/2025 7:27,CUST-13373,English,Phone,Fee Inquiry,Medium,Question about advisory fees and breakpoints.,D. Johnson,Jordan Blake,Billing Operations,9,44,4,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (D. Johnson): Thank you for calling Contoso Financial Advisors. Customer: Were these advisory fees calculated correctly? Agent (D. Johnson): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0038,5/18/2025 9:18,CUST-75827,Spanish,Email,Advisory Appointment,Medium,Necesito reprogramar con mi asesor; calendario no sincroniza.,C. Williams,Nadia Ben Ali,Advisory Services – Scheduling,184,155,3,Positive,Average,Resolved,Contoso Financial Advisors,0,Resuelto; seguimiento programado.,"Cliente: Claro, puedo proporcionarlo. Agent (C. Williams): Estoy revisando los registros y la política de permisos de su cuenta. Agent (C. Williams): He aplicado una solución y validado el resultado. Recibirá un correo con detalles, y su asesor/a Nadia Ben Ali hará seguimiento durante 24 horas. Agent (C. Williams): ¿Hay algo más en lo que pueda ayudarle hoy? También recibirá una encuesta—su opinión nos ayuda mucho."
CFA-2025-0039,6/15/2025 12:30,CUST-49573,French,In-App,Fraud Alert,Medium,Opération non reconnue ayant déclenché une alerte fraude.,M. Rodriguez,Rohan Mehta,Fraud Operations,103,672,3,Positive,Average,Resolved,Contoso Financial Advisors,0,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (M. Rodriguez): Je consulte les journaux et la politique des autorisations de votre compte. Agent (M. Rodriguez): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Rohan Mehta assurera un suivi pendant 24 heures. Agent (M. Rodriguez): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0040,5/17/2025 12:18,CUST-48440,English,Phone,Fraud Alert,Low,Unrecognized transaction triggered fraud hold.,E. Martinez,Noah Fernandez,Fraud Operations,9,603,5,Neutral,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (E. Martinez): Thank you for calling Contoso Financial Advisors. Customer: I see a fraud alert for something I didn't do. Agent (E. Martinez): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0041,5/11/2025 9:51,CUST-24846,Spanish,Chat,Tax Document,Medium,Falta el formulario 1099 o tiene datos incompletos.,L. Nguyen,Isabella Conti,Tax Center,4,,1,Neutral,Poor,Unresolved,Contoso Financial Advisors,40.02,Escalado; en espera de actualización del especialista.,"Cliente: Claro, puedo proporcionarlo. Agent (L. Nguyen): Estoy revisando los registros y la política de permisos de su cuenta. Agent (L. Nguyen): He escalado el caso al equipo especialista y creado una alerta en la cuenta. El asesor Isabella Conti le actualizará antes de finalizar el día. Agent (L. Nguyen): Le mantendremos informado por su medio de contacto preferido. Puede referirse al número de ticket en cualquier respuesta."
CFA-2025-0042,4/27/2025 15:16,CUST-92619,French,Phone,Regulatory Disclosure,Medium,Lien vers l'ADV Partie 2A manquant dans le portail.,M. Rodriguez,Aurélie Petit,Compliance Desk,4,773,4,Neutral,Excellent,Resolved,Contoso Financial Advisors,0,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (M. Rodriguez): Je consulte les journaux et la politique des autorisations de votre compte. Agent (M. Rodriguez): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Aurélie Petit assurera un suivi pendant 24 heures. Agent (M. Rodriguez): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0043,7/24/2025 7:26,CUST-45704,English,Email,KYC/Onboarding,Low,Client verification documents rejected repeatedly.,J. Chen,Diego Alvarez,KYC Operations,219,305,4,Positive,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (J. Chen): Thanks for contacting Contoso Support. Customer: My ID keeps getting rejected. Agent (J. Chen): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
CFA-2025-0044,8/5/2025 10:59,CUST-78851,Spanish,Branch,KYC/Onboarding,Low,Los documentos de verificación fueron rechazados repetidamente.,M. Rodriguez,Diego Alvarez,KYC Operations,7,,2,Negative,Poor,Unresolved,Contoso Financial Advisors,30.45,Escalado; en espera de actualización del especialista.,"Cliente: Claro, puedo proporcionarlo. Agent (M. Rodriguez): Estoy revisando los registros y la política de permisos de su cuenta. Agent (M. Rodriguez): He escalado el caso al equipo especialista y creado una alerta en la cuenta. El asesor Diego Alvarez le actualizará antes de finalizar el día. Agent (M. Rodriguez): Le mantendremos informado por su medio de contacto preferido. Puede referirse al número de ticket en cualquier respuesta."
CFA-2025-0045,7/25/2025 15:36,CUST-69179,French,In-App,Account Access,Medium,Impossible de se connecter ; MFA ne fonctionne pas.,E. Martinez,Claire Dupont,Client Access Support,79,174,4,Positive,Excellent,Resolved,Contoso Financial Advisors,28.51,Résolu ; suivi planifié.,"Client : Oui, je peux fournir ces informations. Agent (E. Martinez): Je consulte les journaux et la politique des autorisations de votre compte. Agent (E. Martinez): J'ai appliqué un correctif et validé le résultat. Vous recevrez un e-mail détaillé, et votre conseiller/ère Claire Dupont assurera un suivi pendant 24 heures. Agent (E. Martinez): Puis-je vous aider avec autre chose aujourd'hui ? Vous recevrez aussi un sondage—votre avis nous aide beaucoup."
CFA-2025-0046,5/11/2025 17:22,CUST-78456,English,In-App,Regulatory Disclosure,Low,Missing ADV Part 2A link in client portal.,R. Gupta,Aurélie Petit,Compliance Desk,50,283,5,Negative,Excellent,Resolved,Contoso Financial Advisors,0,Resolved; follow-up scheduled.,"Agent (R. Gupta): We received your in-app message. Customer: Where can I find the ADV disclosure? Agent (R. Gupta): Could you share the exact time it occurred and any error message? Customer: Sure, I can provide that. "
